ID,LONGITUDE,LATITUDE,CODESC,CODESCTX,NOMEESC,NOMEMUN,CODMUN,NOMDIST,CODDIST,COD_SC,COD_DEP,TIP_DEP,BAIRRO,CEP,END_ESC,NUM_ESC,DDD,TELEFONE,LOCALIZA,LAB_INF,QD_ESP_C,QD_ESP_D,BIBLIO,ENS_REG,REG_IN_CR,REG_IN_PE,REG_FU_8A,REG_FU_9A,REG_MED,REG_MED_I,REG_MED_N,REG_MED_P,ENS_ESP,ESP_IN_CR,ESP_IN_PE,ESP_FU_8A,ESP_FU_9A,ESP_MED,ESP_MED_I,ESP_MED_N,ESP_MED_P,ESP_EJA_F,ESP_EJA_M,EJA,EJA_FUND,EJA_MED,EJA_PROJ,AP5EF_07,AP9EF_07,AP3EM_07,AB1EM_07,AP5EF_08,AP9EF_08,AP3EM_08,AB1EM_08,AP5EF_09,AP9EF_09,AP3EM_09,AB1EM_09,AP5EF_10,AP9EF_10,AP3EM_10,AB1EM_10,AP5EF_11,AP9EF_11,APR3EM_11,AB1EM_11,AP5EF_12,AP9EF_12,AP3EM_12,AB1EM_12,AP5EF_13,AP9EF_13,AP3EM_13,AB1EM_13,AP5EF_14,AP9EF_14,AP3EM_14,AB1EM_14,DI3EM_07,DI3EM_08,DI3EM_09,DI3EM_10,DI3EM_11,DI3EM_12,DI3EM_13,DI3EM_14,MAT05_AI,LP05_AI,NP05_AI,MAT07_AI,LP07_AI,NP07_AI,MAT09_AI,LP09_AI,NP09_AI,MAT11_AI,LP11_AI,NP11_AI,MAT13_AI,LP13_AI,NP13_AI,IDEB05AI,IDEB07AI,IDEB09AI,IDEB11AI,IDEB13AI,MAT05_AF,LP05_AF,NP05_AF,MAT07_AF,LP07_AF,NP07_AF,MAT09_AF,LP09_AF,NP09_AF,MAT11_AF,LP11_AF,NP11_AF,MAT13_AF,LP13_AF,NP13_AF,IDEB05AF,IDEB07AF,IDEB09AF,IDEB11AF,IDEB13AF,RED_EN13,LC_EN13,MAT_EN13,CH_EN13,CN_EN13,ENEM2013,INSE_AB,INSE_CL
992,-46707412,-23756873,35158549,35158549,ORION EDUCACIONAL,SAO PAULO,3550308,GRAJAU,355030830.0,,4,Privada,JD S BERNARDO,4844610.0,RUA SINFONIA ITALIANA,10,11,59730944,1,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,,,90.2,100.0,,,100.0,100.0,,,100.0,100.0,,,97.5,100.0,,0.0,95.1,97.1,,0.0,100.0,98.3,100.0,0.0,98.6,92.0,100.0,0.0,,,,,,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.0,497.05,502.88,527.78,461.59,497.33,54.5265,Medio Alto
1022,-46701160,-23735897,35158525,35158525,CERIMAR COLEGIO,SAO PAULO,3550308,CIDADE DUTRA,355030823.0,,4,Privada,JD EDWIGES,4835040.0,RUA MAXIMO PAULINO REIS,24,11,59291870,1,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.2,100.0,100.0,0.0,96.6,95.1,100.0,0.0,97.3,93.0,100.0,0.0,91.5,94.2,100.0,0.0,82.5,92.0,58.6,0.0,100.0,76.8,96.3,0.0,100.0,87.1,97.1,0.0,96.5,96.7,100.0,0.0,,8.3,6.7,3.7,6.1,3.7,2.9,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,559.05,526.71,539.74,548.92,498.85,528.56,62.9387,Muito Alto
1031,-46695589,-23730014,35141297,35141297,CIDADE CANCAO COLEGIO,SAO PAULO,3550308,CIDADE DUTRA,355030823.0,,4,Privada,PQ DAS ARVORES,4824040.0,AV ORVALHO DO SOL,170,11,59290788,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,94.4,100.0,100.0,0.0,100.0,100.0,100.0,0.0,98.3,98.2,100.0,3.4,100.0,98.1,100.0,0.0,,,,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,561.0,539.1,509.81,548.38,497.84,523.78,60.2071,Alto
1110,-46667224,-23757061,35807825,35807825,SHANGRI LA COLEGIO,SAO PAULO,3550308,GRAJAU,355030830.0,,4,Privada,PARQUE BRASIL,4846000.0,AVENIDA DONA BELMIRA MARIN,5196,11,59324385,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,,,,89.7,,,,95.8,100.0,,,97.4,100.0,,,93.3,86.7,,0.0,100.0,92.9,,0.0,96.2,100.0,100.0,0.0,91.3,93.6,100.0,0.0,,,,,,,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.093999999999994,Alto
1070,-46687283,-23747345,35155299,35155299,SANTA RITA COLEGIO,SAO PAULO,3550308,GRAJAU,355030830.0,,4,Privada,PQUE GRAJAU,4842340.0,RUA JOSE BEZERRA FILHO,62,11,59730725,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,97.4,100.0,0.0,97.1,93.3,100.0,0.0,100.0,87.5,100.0,0.0,93.8,100.0,100.0,0.0,90.7,95.1,95.2,0.0,100.0,100.0,100.0,0.0,100.0,91.9,95.0,0.0,100.0,100.0,100.0,0.0,7.7,,,,10.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1079,-46684874,-23747466,35155287,35155287,GRAJAU COLEGIO,SAO PAULO,3550308,GRAJAU,355030830.0,,4,Privada,PQ GRAJAU,4842310.0,R JOAO BATISTA BARROSO FO,187,11,59282964,1,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,100.0,100.0,0.0,98.2,96.8,100.0,0.0,100.0,98.2,100.0,0.0,100.0,100.0,95.6,0.0,98.9,100.0,98.1,0.0,100.0,98.5,100.0,0.0,100.0,98.6,100.0,0.0,100.0,100.0,100.0,0.0,3.4,,,,2.4,,,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,579.55,525.56,540.06,558.69,485.69,527.5,57.0842,Alto
1096,-46681683,-23734754,35158550,35158550,AGNUS COLEGIO,SAO PAULO,3550308,GRAJAU,355030830.0,,4,Privada,JD SANTA BARBARA,4848000.0,AV JOAQUIM NAPOLEAO MACHADO,345,11,55280649,1,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,95.5,100.0,0.0,,100.0,83.3,0.0,,100.0,100.0,0.0,,86.7,85.7,0.0,,100.0,100.0,0.0,,91.4,100.0,0.0,,92.6,100.0,0.0,,78.9,100.0,0.0,22.2,,11.8,,9.1,5.0,4.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,600.0,527.11,508.18,560.87,459.38,513.89,58.9023,Alto
1173,-46788482,-23666670,35179848,35179848,PRELUDIO COLEGIO,SAO PAULO,3550308,CAPAO REDONDO,355030819.0,,4,Privada,JD AMALIA,5890300.0,R SERRA DOS DOIS IRMAOS,750,11,58218444,1,1,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.8,,,,88.5,93.1,,,100.0,92.3,,,100.0,94.4,,,100.0,100.0,,,100.0,94.6,,0.0,100.0,96.7,,0.0,97.9,90.5,100.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,-46776334,-23672930,35125726,35125726,PERSPECTIVA ESCOLA,SAO PAULO,3550308,CAPAO REDONDO,355030819.0,,4,Privada,VL FAZZEONI,5884150.0,R PROFESSORA EUNICE BECHARA DE OLIVEIRA,734,11,58732271,1,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,94.4,100.0,0.0,98.1,95.8,100.0,0.0,100.0,98.0,100.0,0.0,100.0,97.6,100.0,0.0,97.4,93.4,88.0,0.0,100.0,88.6,100.0,0.0,100.0,98.1,100.0,0.0,100.0,96.5,100.0,0.0,,,,,6.3,2.5,2.2,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,620.95,551.16,605.57,581.68,535.05,568.37,58.2193,Alto
1186,-46782015,-23663877,35107682,35107682,UNASP SAO PAULO ADVENTISTA COLEGIO,SAO PAULO,3550308,CAPAO REDONDO,355030819.0,,4,Privada,C REDONDO,5858001.0,"EST ITAPECERICA, DE",5859,11,58215000,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100.0,93.9,100.0,0.0,96.8,92.8,99.2,0.0,98.7,92.3,99.0,0.7,97.8,96.6,98.3,0.5,97.8,96.0,97.7,0.0,98.8,92.9,96.1,0.0,100.0,98.9,94.0,0.4,100.0,97.7,98.0,0.6,4.1,4.1,6.1,9.4,0.7,2.7,2.7,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,590.91,533.22,586.88,555.11,513.01,547.06,60.6354,Alto
