Columns,Missing,Percent missing
COD_SC,505,1.0
DDD,11,0.02178217821782178
TELEFONE,11,0.02178217821782178
AP5EF_07,75,0.1485148514851485
AP9EF_07,83,0.16435643564356436
AP3EM_07,138,0.2732673267326733
AB1EM_07,99,0.19603960396039605
AP5EF_08,62,0.12277227722772277
AP9EF_08,60,0.1188118811881188
AP3EM_08,105,0.2079207920792079
AB1EM_08,72,0.14257425742574256
AP5EF_09,59,0.11683168316831684
AP9EF_09,49,0.09702970297029703
AP3EM_09,82,0.16237623762376238
AB1EM_09,55,0.10891089108910891
AP5EF_10,55,0.10891089108910891
AP9EF_10,38,0.07524752475247524
AP3EM_10,69,0.13663366336633664
AB1EM_10,43,0.08514851485148515
AP5EF_11,59,0.11683168316831684
AP9EF_11,39,0.07722772277227723
APR3EM_11,41,0.08118811881188119
AB1EM_11,26,0.05148514851485148
AP5EF_12,55,0.10891089108910891
AP9EF_12,28,0.055445544554455446
AP3EM_12,36,0.07128712871287128
AB1EM_12,13,0.02574257425742574
AP5EF_13,59,0.11683168316831684
AP9EF_13,26,0.05148514851485148
AP3EM_13,20,0.039603960396039604
AB1EM_13,3,0.005940594059405941
AP5EF_14,55,0.10891089108910891
AP9EF_14,25,0.04950495049504951
AP3EM_14,13,0.02574257425742574
AB1EM_14,2,0.0039603960396039604
DI3EM_07,252,0.499009900990099
DI3EM_08,224,0.44356435643564357
DI3EM_09,215,0.42574257425742573
DI3EM_10,189,0.37425742574257426
DI3EM_11,168,0.3326732673267327
DI3EM_12,165,0.32673267326732675
DI3EM_13,159,0.31485148514851485
DI3EM_14,159,0.31485148514851485
MAT05_AI,501,0.9920792079207921
LP05_AI,501,0.9920792079207921
NP05_AI,501,0.9920792079207921
MAT07_AI,500,0.9900990099009901
LP07_AI,500,0.9900990099009901
NP07_AI,500,0.9900990099009901
MAT09_AI,500,0.9900990099009901
LP09_AI,500,0.9900990099009901
NP09_AI,500,0.9900990099009901
MAT11_AI,500,0.9900990099009901
LP11_AI,500,0.9900990099009901
NP11_AI,500,0.9900990099009901
MAT13_AI,505,1.0
LP13_AI,505,1.0
NP13_AI,505,1.0
IDEB05AI,501,0.9920792079207921
IDEB07AI,500,0.9900990099009901
IDEB09AI,500,0.9900990099009901
IDEB11AI,500,0.9900990099009901
IDEB13AI,505,1.0
MAT05_AF,500,0.9900990099009901
LP05_AF,500,0.9900990099009901
NP05_AF,500,0.9900990099009901
MAT07_AF,500,0.9900990099009901
LP07_AF,500,0.9900990099009901
NP07_AF,500,0.9900990099009901
MAT09_AF,500,0.9900990099009901
LP09_AF,500,0.9900990099009901
NP09_AF,500,0.9900990099009901
MAT11_AF,500,0.9900990099009901
LP11_AF,500,0.9900990099009901
NP11_AF,500,0.9900990099009901
MAT13_AF,500,0.9900990099009901
LP13_AF,500,0.9900990099009901
NP13_AF,500,0.9900990099009901
IDEB05AF,500,0.9900990099009901
IDEB07AF,500,0.9900990099009901
IDEB09AF,500,0.9900990099009901
IDEB11AF,500,0.9900990099009901
IDEB13AF,500,0.9900990099009901
RED_EN13,79,0.15643564356435644
LC_EN13,79,0.15643564356435644
MAT_EN13,79,0.15643564356435644
CH_EN13,79,0.15643564356435644
CN_EN13,79,0.15643564356435644
ENEM2013,79,0.15643564356435644
INSE_AB,32,0.06336633663366337
INSE_CL,32,0.06336633663366337
