CODMEC,CODEOL,ANO,TIPOESC,NOME,DEP,DEPADM,SITUAÇÃO,MAIS EDUCAÇÃO,Qtde_Docentes,NUM_FUNC,MERENDA,SETEDU,DISTRITO,SUBPREF,CORED,ZONA,DTURNOS - EMEF,T2D3D - EMEF,DTURNOS-EMEI,T2D3D - EMEI,CL_CRECHE,CL_PRE,AL_CRECHE,AL_PRE,0,1,2,MENOR3,3,4,5,6,6fund,0A3,0A4,4A6,5A6,>6,TotalEdInf,CLEM1S,CLEM2S,CLEM3S,CLEM4S,CLEMMU,ALEM1S,ALEM2S,ALEM3S,ALEM4S,ALEMMU,CLEM,ALEM,CLEF1S,CLEF2S,CLEF3S,CLEF4S,CLEF5S,CLEF6S,CLEF7S,CLEF8S,CLEFMU,ALEF1S,ALEF2S,ALEF3S,ALEF4S,ALEF5S,ALEF6S,ALEF7S,ALEF8S,ALEFMU,ALEFAC,CLEF1A4,CLEF5A8,CLEF1A8,ALEF1A4,ALEF5A8,ALEF1A8,CLE9F1S,CLE9F2S,CLE9F3S,CLE9F4S,CLE9F5S,CLE9F6S,CLE9F7S,CLE9F8S,CLE9F9S,CLE9FMU,ALE9F1S,ALE9F2S,ALE9F3S,ALE9F4S,ALE9F5S,ALE9F6S,ALE9F7S,ALE9F8S,ALE9F9S,ALE9FMU,ALE9FAC,CLE9F1A5,CLE9F6A9,ALE9F1A5,ALE9F6A9,CLE9F1A9,ALE9F1A9,CLFUNDI,ALFUNDI,CLFUNDII,ALFUNDII,CLFUND,ALFUND,TEG,TIPOENSEJA,CLEJA1A4,CLEJA5A8,CLEJAMED,ALEJA1A4,ALEJA5A8,ALEJAMED,TOTALEJA,ALES1A4_SEMI,ALES5A8_SEMI,ALESMED_SEMI,ALES1A8_EXAME,ALESMED_EXAME,ALEDPROF,EE_VIS_MED,EE_BVIS_MED,EE_INTELECTUAL_MED,EE_AUD_MED,EE_BAUD_MED,EE_Surdo_Cegueira_MED,EE_FIS_MED,EE_MEN_MED,EE_Transtornos_MED,EE_Down_MED,EE_MUL_MED,EE_SUP_MED,EE_Autismo_MED,EE_Asperger_MED,EE_Ret_MED,EE_TDI_MED,EE_CON_MED,EE_OUT_MED,TOT_EE_MED,EE_VIS_CRE,EE_BVIS_CRE,EE_INTELECTUAL_CRE,EE_AUD_CRE,EE_BAUD_CRE,EE_Surdo_Cegueira_CRE,EE_FIS_CRE,EE_MEN_CRE,EE_Transtornos_CRE,EE_Down_CRE,EE_MUL_CRE,EE_SUP_CRE,EE_Autismo_CRE,EE_Asperger_CRE,EE_Ret_CRE,EE_TDI_CRE,EE_CON_CRE,EE_OUT_CRE,TOT_EE_CRE,EE_VIS_FUND,EE_BVIS_FUND,EE_INTELECTUAL_FUND,EE_AUD_FUND,EE_BAUD_FUND,EE_Surdo_Cegueira_FUND,EE_FIS_FUND,EE_MEN_FUND,EE_Transtornos_FUND,EE_Down_FUND,EE_MUL_FUND,EE_SUP_FUND,EE_Autismo_FUND,EE_Asperger_FUND,EE_Ret_FUND,EE_TDI_FUND,EE_CON_FUND,EE_OUT_FUND,TOT_EE_FUND,EE_VIS_EJA,EE_BVIS_EJA,EE_INTELECTUAL_EJA,EE_AUD_EJA,EE_BAUD_EJA,EE_Surdo_Cegueira_EJA,EE_FIS_EJA,EE_MEN_EJA,EE_Transtornos_EJA,EE_Down_EJA,EE_MUL_EJA,EE_SUP_EJA,EE_Autismo_EJA,EE_Asperger_EJA,EE_Ret_EJA,EE_TDI_EJA,EE_CON_EJA,EE_OUT_EJA,TOT_EE_EJA,EE_VIS_EP,EE_BVIS_EP,EE_INTELECTUAL_EP,EE_AUD_EP,EE_BAUD_EP,EE_Surdo_Cegueira_EP,EE_FIS_EP,EE_MEN_EP,EE_Transtornos_EP,EE_Down_EP,EE_MUL_EP,EE_SUP_EP,EE_Autismo_EP,EE_Asperger_EP,EE_Ret_EP,EE_TDI_EP,EE_CON_EP,EE_OUT_EP,TOT_EE_EP,EE_VIS_PRE,EE_BVIS_PRE,EE_AUD_PRE,EE_BAUD_PRE,EE_INTELECTUAL_PRE,EE_Surdo_Cegueira_PRE,EE_FIS_PRE,EE_MEN_PRE,EE_Transtornos_PRE,EE_Down_PRE,EE_MUL_PRE,EE_SUP_PRE,EE_Autismo_PRE,EE_Asperger_PRE,EE_Ret_PRE,EE_TDI_PRE,EE_CON_PRE,EE_OUT_PRE,TOT_EE_PRE,TOT_EE,TIPO_EE,EE_Creche,EE_Pre,EE_Fund,EE_Med,EE_EJA,EE_EP,ALEDESP,TOTAL_ALUNOS
35054082,93181.0,2014,EMEFM,EMEFM LINNEU PRESTES PROF,MUNICIPAL,,1.0,S,49.0,97.0,,7102.0,SANTO AMARO,SANTO AMARO,SANTO AMARO,SUL,,2D,,,,,,,,,,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,3.0,,,125.0,94.0,65.0,,,10.0,284.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,,2.0,3.0,5.0,,23.0,25.0,33.0,29.0,64.0,,69.0,99.0,160.0,,,6.0,10.0,174.0,328.0,16.0,502.0,6.0,174.0,10.0,328.0,16.0,502.0,,,2.0,5.0,,70.0,205.0,,275.0,,,,,,,,2.0,2.0,,1.0,,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,5.0,,,,2.0,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,8.0,,,1.0,,,,,0.0,0.0,0.0,,,,,,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,ClasseComum,,,,,,,,1061
35060574,,2014,ESC.PART.,CONDE DOMINGOS COLEGIO,PRIVADA,,1.0,,34.0,63.0,,8001.0,TATUAPE,MOOCA,PENHA,LESTE,,0,,,,,,,,,,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,,,46.0,40.0,36.0,,,4.0,122.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,,35.0,28.0,40.0,32.0,36.0,59.0,40.0,50.0,,,8.0,6.0,135.0,185.0,14.0,320.0,8.0,135.0,6.0,185.0,14.0,320.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,0.0,,,1.0,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ClasseComum,,,,,,,,442
35063332,,2014,ESC.PART.,LICEU JOSE DE ALENCAR,PRIVADA,,1.0,,28.0,47.0,,404.0,ARICANDUVA,ARICANDUVA/FORMOSA/CARRAO,ITAQUERA,LESTE,,0,,,1.0,3.0,9.0,39.0,,,,0.0,5.0,13.0,25.0,5.0,20.0,5.0,18.0,43.0,30.0,0.0,48.0,1.0,1.0,1.0,,,28.0,17.0,14.0,,,3.0,59.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,35.0,33.0,36.0,38.0,31.0,41.0,32.0,35.0,24.0,,,11.0,8.0,173.0,132.0,19.0,305.0,11.0,173.0,8.0,132.0,19.0,305.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,1.0,0.0,0.0,0.0,,,1.0,,,,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,1.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,4.0,ClasseComum,,,,,,,,412
35070178,94668.0,2014,EMEFM,EMEFM DERVILLE ALLEGRETTI PROF,MUNICIPAL,,1.0,,83.0,142.0,,7001.0,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,,2D,,,,,,,,,,0.0,,,,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,8.0,8.0,1.0,,304.0,265.0,234.0,20.0,,27.0,823.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,3.0,3.0,,47.0,44.0,50.0,58.0,61.0,,58.0,77.0,103.0,,,10.0,8.0,260.0,238.0,18.0,498.0,10.0,260.0,8.0,238.0,18.0,498.0,6.0,,,,,,,,0.0,,,,,,566.0,,2.0,4.0,,,,,0.0,0.0,0.0,,1.0,,,,,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,1.0,,,0.0,0.0,0.0,,,,,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,ClasseComum,,,,,,,,1887
35071936,,2014,ESC.PART.,CANELLO MARQUES COLEGIO,PRIVADA,,1.0,,64.0,126.0,,6304.0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,,0,,,2.0,7.0,23.0,82.0,,,,0.0,12.0,25.0,37.0,30.0,37.0,12.0,37.0,92.0,67.0,1.0,105.0,4.0,4.0,3.0,,,81.0,86.0,71.0,,,11.0,238.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,4.0,4.0,3.0,4.0,3.0,4.0,5.0,4.0,3.0,,60.0,62.0,38.0,51.0,62.0,83.0,87.0,77.0,75.0,,,18.0,16.0,273.0,322.0,34.0,595.0,18.0,273.0,16.0,322.0,34.0,595.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,3.0,,,,,0.0,0.0,0.0,,,,2.0,,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,ClasseComum,,,,,,,,938
35100024,,2014,ESC.PART.,PADRE GIORDANO COLEGIO,PRIVADA,,1.0,,35.0,48.0,,6306.0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,,0,,,2.0,4.0,31.0,53.0,,,5.0,5.0,16.0,19.0,27.0,17.0,13.0,21.0,40.0,63.0,44.0,0.0,84.0,1.0,1.0,1.0,,,18.0,22.0,8.0,,,3.0,48.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,,27.0,42.0,27.0,16.0,19.0,28.0,29.0,14.0,20.0,,,8.0,4.0,131.0,91.0,12.0,222.0,8.0,131.0,4.0,91.0,12.0,222.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,354
35100031,,2014,ESC.PART.,SAO JOAO GUALBERTO COLEGIO,PRIVADA,,1.0,,55.0,106.0,,6305.0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,,0,,,2.0,6.0,26.0,106.0,,,,0.0,13.0,38.0,54.0,26.0,51.0,13.0,51.0,118.0,80.0,1.0,132.0,2.0,2.0,2.0,,,71.0,50.0,41.0,,,6.0,162.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,91.0,68.0,72.0,75.0,96.0,77.0,71.0,87.0,62.0,,,17.0,12.0,402.0,297.0,29.0,699.0,17.0,402.0,12.0,297.0,29.0,699.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,2.0,,,,2.0,0.0,0.0,0.0,,,,,,,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,ClasseComum,,,,,,,,993
35100043,,2014,ESC.PART.,ESTRELA SIRIUS COLEGIO,PRIVADA,,1.0,,42.0,89.0,,6305.0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,,0,,,,6.0,,68.0,,,,0.0,,9.0,36.0,23.0,38.0,0.0,9.0,68.0,59.0,0.0,68.0,2.0,2.0,2.0,,,36.0,40.0,65.0,,,6.0,141.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,5.0,3.0,4.0,3.0,2.0,4.0,3.0,2.0,3.0,,82.0,54.0,66.0,60.0,59.0,71.0,70.0,52.0,74.0,,,17.0,12.0,321.0,267.0,29.0,588.0,17.0,321.0,12.0,267.0,29.0,588.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ClasseComum,,,,,,,,797
35100080,,2014,ESC.PART.,SESI 069 CENTRO EDUCACIONAL,PRIVADA,,1.0,,18.0,27.0,,2101.0,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,,0,,,,,,,,,,0.0,,,,,11.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,28.0,26.0,25.0,,,3.0,79.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,25.0,24.0,28.0,27.0,31.0,32.0,30.0,32.0,29.0,,,5.0,4.0,135.0,123.0,9.0,258.0,5.0,135.0,4.0,123.0,9.0,258.0,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,,,,,,,337
35100161,,2014,ESC.PART.,CENTENARIO COLEGIO,PRIVADA,,1.0,,19.0,23.0,,2103.0,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,,0,,,,,,,,,,0.0,,,,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,29.0,19.0,18.0,,,3.0,66.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,14.0,11.0,10.0,13.0,11.0,13.0,12.0,18.0,27.0,,,5.0,4.0,59.0,70.0,9.0,129.0,5.0,59.0,4.0,70.0,9.0,129.0,,,,,,,,,0.0,,,,,,,,,,,,,1.0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,ClasseComum,,,,,,,,195
