Columns,Missing,Percent missing
CODEOL,1996,0.9890981169474727
DEPADM,1515,0.7507433102081269
SITUAÇÃO,1513,0.7497522299306244
MAIS EDUCAÇÃO,2015,0.9985133795837463
Qtde_Docentes,505,0.2502477700693756
NUM_FUNC,505,0.2502477700693756
MERENDA,2013,0.9975222993062438
CORED,2,0.0009910802775024777
DTURNOS - EMEF,2008,0.9950445986124876
T2D3D - EMEF,1498,0.7423191278493558
DTURNOS-EMEI,2018,1.0
T2D3D - EMEI,2018,1.0
CL_CRECHE,727,0.36025768087215065
CL_PRE,442,0.21902874132804756
AL_CRECHE,399,0.19772051536174431
AL_PRE,244,0.12091179385530228
0,1330,0.6590683845391476
1,1225,0.6070366699702676
2,857,0.42467789890981167
MENOR3,201,0.099603567888999
3,539,0.26709613478691774
4,349,0.17294350842418235
5,321,0.15906838453914768
6,326,0.16154608523290387
6fund,211,0.1045589692765114
0A3,201,0.099603567888999
0A4,201,0.099603567888999
4A6,201,0.099603567888999
5A6,201,0.099603567888999
>6,201,0.099603567888999
TotalEdInf,201,0.099603567888999
CLEM1S,5,0.002477700693756194
CLEM2S,9,0.0044598612487611496
CLEM3S,27,0.013379583746283449
CLEM4S,835,0.41377601585728446
CLEMMU,838,0.41526263627353815
ALEM1S,5,0.002477700693756194
ALEM2S,9,0.0044598612487611496
ALEM3S,27,0.013379583746283449
ALEM4S,835,0.41377601585728446
ALEMMU,838,0.41526263627353815
CLEM,2,0.0009910802775024777
CLEF1S,1337,0.6625371655104063
CLEF2S,1337,0.6625371655104063
CLEF3S,1337,0.6625371655104063
CLEF4S,1337,0.6625371655104063
CLEF5S,1331,0.6595639246778989
CLEF6S,1327,0.6575817641228939
CLEF7S,1296,0.6422200198216056
CLEF8S,1273,0.630822596630327
CLEFMU,1342,0.6650148662041625
ALEF1S,1337,0.6625371655104063
ALEF2S,1337,0.6625371655104063
ALEF3S,1337,0.6625371655104063
ALEF4S,1337,0.6625371655104063
ALEF5S,1331,0.6595639246778989
ALEF6S,1327,0.6575817641228939
ALEF7S,1296,0.6422200198216056
ALEF8S,1273,0.630822596630327
ALEFMU,1342,0.6650148662041625
ALEFAC,1342,0.6650148662041625
CLEF1A4,520,0.2576808721506442
CLEF5A8,520,0.2576808721506442
CLEF1A8,520,0.2576808721506442
ALEF1A4,15,0.007433102081268583
ALEF5A8,15,0.007433102081268583
ALEF1A8,15,0.007433102081268583
CLE9F1S,167,0.08275520317145689
CLE9F2S,147,0.07284440039643211
CLE9F3S,141,0.06987115956392467
CLE9F4S,137,0.06788899900891972
CLE9F5S,143,0.07086223984142716
CLE9F6S,94,0.04658077304261645
CLE9F7S,87,0.04311199207135778
CLE9F8S,112,0.05550049554013875
CLE9F9S,131,0.06491575817641229
CLE9FMU,1017,0.5039643211100099
ALE9F1S,167,0.08275520317145689
ALE9F2S,147,0.07284440039643211
ALE9F3S,140,0.06937561942517344
ALE9F4S,137,0.06788899900891972
ALE9F5S,143,0.07086223984142716
ALE9F6S,94,0.04658077304261645
ALE9F7S,87,0.04311199207135778
ALE9F8S,112,0.05550049554013875
ALE9F9S,131,0.06491575817641229
ALE9FMU,1342,0.6650148662041625
