CODMEC,ANO,DEP,NOME,SETEDU,DISTRITO,SUBPREF,DIRET,ZONA,EFABAND9ANOS1S,EFABAND9ANOS2S,EFABAND9ANOS3S,EFABAND9ANOS4S,EFABAND9ANOS5S,EFABAND9ANOS6S,EFABAND9ANOS7S,EFABAND9ANOS8S,EFABAND9ANOS9S,EFABAND1S,EFABAND2S,EFABAND3S,EFABAND4S,EFABAND5S,EFABAND6S,EFABAND7S,EFABAND8S,TOTALEF_ABAND,EFAPROV9ANOS1S,EFAPROV9ANOS2S,EFAPROV9ANOS3S,EFAPROV9ANOS4S,EFAPROV9ANOS5S,EFAPROV9ANOS6S,EFAPROV9ANOS7S,EFAPROV9ANOS8S,EFAPROV9ANOS9S,EFAPROV1S,EFAPROV2S,EFAPROV3S,EFAPROV4S,EFAPROV5S,EFAPROV6S,EFAPROV7S,EFAPROV8S,TOTALEF_APROV,EFREPROV9ANOS1S,EFREPROV9ANOS2S,EFREPROV9ANOS3S,EFREPROV9ANOS4S,EFREPROV9ANOS5S,EFREPROV9ANOS6S,EFREPROV9ANOS7S,EFREPROV9ANOS8S,EFREPROV9ANOS9S,EFREPROV1S,EFREPROV2S,EFREPROV3S,EFREPROV4S,EFREPROV5S,EFREPROV6S,EFREPROV7S,EFREPROV8S,TOTALEF_REPROV,CONCLUINTES_EF,EMABAND1S,EMABAND2S,EMABAND3S,EMABAND4S,TOTAL_EM_ABAND,EMREPROV1S,EMREPROV2S,EMREPROV3S,EMREPROV4S,TOTAL_EM_REPROV,EMAPROV1S,EMAPROV2S,EMAPROV3S,EMAPROV4S,TOTAL_EM_APROV,CONCLUINTES_EM,CONCLUINTES_EJA,EPAPROV,EPREPROV,EPABAND,EJAIABAND,EJAIAPROV,EJAIREPROV,EJAITOTAL,EJAIIABAND,EJAIIAPROV,EJAIIREPROV,EJAIITOTAL,EJATOT
35054082,2015,MUNICIPAL,"LINNEU PRESTES, PROF.",7102,SANTO AMARO,SANTO AMARO,SANTO AMARO,SUL,0,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0,17,27,25,29,34,37,66,0,84,98,0,0,0,0,0,0,0,0,400,0,0,0,0,0,0,0,4,21,0,0,0,0,0,0,0,0,25,0,11,8,5,0,24,51,13,5,0,69,170,109,79,0,358,0,0,0,0,0,7,49,0,0,35,183,27,0,0
35060574,2015,PARTICULAR,CONDE DOMINGOS COLEGIO,0,TATUAPE,MOOCA,PENHA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,29,36,44,32,62,40,0,0,0,0,0,0,0,0,314,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,3,37,40,42,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35063332,2015,PARTICULAR,LICEU JOSE DE ALENCAR,0,ARICANDUVA,ARICANDUVA/FORMOSA/CARRAO,ITAQUERA,LESTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,33,31,37,29,33,39,35,37,0,0,0,0,0,0,0,0,312,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,3,0,1,0,4,19,12,15,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35070178,2015,MUNICIPAL,"DERVILLE ALLEGRETTI, PROF.",7001,SANTANA,SANTANA/TUCURUVI,JACANA/TREMEMBE,NORTE,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,54,47,48,43,56,57,0,63,67,0,0,0,0,0,0,0,0,435,1,0,4,0,0,7,0,0,8,0,0,0,0,0,0,0,0,20,0,17,2,1,0,20,78,61,26,0,165,184,209,188,0,581,0,0,357,77,25,0,0,0,0,0,0,0,0,0
35071936,2015,PARTICULAR,CANELLO MARQUES COLEGIO,0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,62,61,36,62,70,74,89,66,0,0,0,0,0,0,0,0,586,0,1,0,0,0,0,1,5,3,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,7,8,1,0,16,63,47,53,0,163,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100024,2015,PARTICULAR,PADRE GIORDANO COLEGIO,0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,28,46,25,18,16,25,25,15,0,0,0,0,0,0,0,0,226,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,21,15,22,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100031,2015,PARTICULAR,SAO JOAO GUALBERTO COLEGIO,0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,95,64,69,70,91,76,61,82,0,0,0,0,0,0,0,0,670,0,1,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,1,0,2,46,53,45,0,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100043,2015,PARTICULAR,ESTRELA SIRIUS COLEGIO,0,PIRITUBA,PIRITUBA,PIRITUBA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,73,59,69,62,67,66,61,39,0,0,0,0,0,0,0,0,557,0,1,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,0,0,0,4,37,27,33,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35100080,2015,PARTICULAR,SESI 069 CENTRO EDUCACIONAL,0,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,24,25,27,25,28,32,32,26,32,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,7,3,1,1,0,5,20,22,27,0,69,0,0,0,0,0,0,0,0,0,11,9,0,0,0
35100161,2015,PARTICULAR,CENTENARIO COLEGIO,0,CASA VERDE,CASA VERDE/CACHOEIRINHA,FREGUESIA/BRASILANDIA,NORTE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,16,12,10,13,19,15,12,17,0,0,0,0,0,0,0,0,128,0,0,0,1,1,1,3,2,3,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,2,4,1,0,7,22,25,11,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
